169,labname,homebank_id,aclew_id,child_level_id,sharing_environment,lab_internal_subject_id,age_mo_round,age,age_exact,child_sex,language,lang_percent,corpus_narrow,corpus,std_mat_ed,mat_ed,fat_ed,std_length_of_recording,length_of_recording,household_size,premature,region,ses_details,,,
72,ROS,,3792,B-05,N,B-05 a3,29,29m;11d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,221,221,6,N,"Quilmes, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
73,ROS,,311,B-06,N,B-06 a1,16,16m;03d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,bhs,secondary incomplete,primary,240,240,9,N,"CABA, ARG",SLUM,,,
74,ROS,,1299,B-06,N,B-06 a2,23,23m;08d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,bhs,secondary incomplete,primary,245,245,9,N,"CABA, ARG",SLUM,,,
75,ROS,,1971,B-06,N,B-06 a3,29,28m;30d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,bhs,secondary incomplete,primary,233,233,9,N,"CABA, ARG",SLUM,,,
76,ROS,,4467,B-07,N,B-07 a1,18,18m;07d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,bhs,secondary incomplete,no inf,243,243,8,N,"Derqui, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
77,ROS,,5293,B-07,N,B-07 a2,25,25m;04d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,bhs,secondary incomplete,no inf,240,240,8,N,"Derqui, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
78,ROS,,8048,B-07,N,B-07 a3,33,33m;11d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,no inf,273,273,8,N,"Derqui, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
79,ROS,,9559,B-08,N,B-08 a1,15,14m;21d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,278,278,3,N,"Derqui, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
80,ROS,,8788,B-08,N,B-08 a2,21,21m;03d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,240,240,3,N,"Derqui, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
81,ROS,,9354,B-08,N,B-08 a3,28,28m;0d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,246,246,3,N,"Derqui, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
82,ROS,,9426,B-09,N,B-09 a1,16,16m;02d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary incomplete,240,240,5,N,"Lugano, Metropolitan Area of Buenos Aires, ARG",SLUM,,,
83,ROS,,3647,B-09,N,B-09 a2,23,23m;08d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary incomplete,240,240,5,N,"Lugano, Metropolitan Area of Buenos Aires, ARG",SLUM,,,
84,ROS,,6387,B-09,N,B-09 a3,29,29m;15d,Y,M,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary incomplete,246,246,5,N,"Lugano, Metropolitan Area of Buenos Aires, ARG",SLUM,,,
85,ROS,,5773,B-10,B-04,B-10 a1,15,15m;0d,Y,F,Spanish,100,Conicet Argentina,Conicet Argentina,hs,secondary,secondary,240,240,9,N,"Quilmes, Metropolitan Area of Buenos Aires, ARG",IMP. NEIGHBOUR,,,
